venue_scope,half_scope,rank,raw_rank,team_id,matches_played,over_count,push_count,under_count,over_rate_pct,push_rate_pct,under_rate_pct
Guest,Full-Time,1,1,1565,2,2,0,0,100.0,0.0,0.0
Guest,Full-Time,2,4,3627,1,1,0,0,100.0,0.0,0.0
Guest,Full-Time,3,2,883,3,2,0,1,66.7,0.0,33.3
Guest,Full-Time,4,3,886,3,2,0,1,66.7,0.0,33.3
Guest,Full-Time,5,5,880,2,1,1,0,50.0,50.0,0.0
Guest,Full-Time,6,6,892,2,1,0,1,50.0,0.0,50.0
Guest,Full-Time,7,7,889,2,1,0,1,50.0,0.0,50.0
Guest,Full-Time,8,8,1562,2,1,0,1,50.0,0.0,50.0
Guest,Full-Time,9,9,1563,2,1,0,1,50.0,0.0,50.0
Guest,Full-Time,10,10,1564,3,1,0,2,33.3,0.0,66.7
Guest,Full-Time,11,11,890,2,0,0,2,0.0,0.0,100.0
Guest,Half-Time,1,1,883,3,2,1,0,66.7,33.3,0.0
Guest,Half-Time,2,2,886,3,2,0,1,66.7,0.0,33.3
Guest,Half-Time,3,3,1565,2,1,0,1,50.0,0.0,50.0
Guest,Half-Time,4,4,880,2,1,0,1,50.0,0.0,50.0
Guest,Half-Time,5,5,1563,2,1,0,1,50.0,0.0,50.0
Guest,Half-Time,6,6,1564,3,1,0,2,33.3,0.0,66.7
Guest,Half-Time,7,7,3627,1,0,1,0,0.0,100.0,0.0
Guest,Half-Time,8,8,890,2,0,0,2,0.0,0.0,100.0
Guest,Half-Time,9,9,892,2,0,0,2,0.0,0.0,100.0
Guest,Half-Time,10,10,889,2,0,0,2,0.0,0.0,100.0
Guest,Half-Time,11,11,1562,2,0,0,2,0.0,0.0,100.0
Home,Full-Time,1,1,890,2,2,0,0,100.0,0.0,0.0
Home,Full-Time,2,2,880,2,2,0,0,100.0,0.0,0.0
Home,Full-Time,3,3,1563,2,2,0,0,100.0,0.0,0.0
Home,Full-Time,4,5,3627,1,1,0,0,100.0,0.0,0.0
Home,Full-Time,5,4,1564,3,2,0,1,66.7,0.0,33.3
Home,Full-Time,6,6,883,2,1,0,1,50.0,0.0,50.0
Home,Full-Time,7,7,1565,2,1,0,1,50.0,0.0,50.0
Home,Full-Time,8,8,1562,2,1,0,1,50.0,0.0,50.0
Home,Full-Time,9,9,892,3,1,0,2,33.3,0.0,66.7
Home,Full-Time,10,10,886,2,0,0,2,0.0,0.0,100.0
Home,Full-Time,11,11,889,3,0,1,2,0.0,33.3,66.7
Home,Half-Time,1,1,890,2,2,0,0,100.0,0.0,0.0
Home,Half-Time,2,2,3627,1,1,0,0,100.0,0.0,0.0
Home,Half-Time,3,3,880,2,1,0,1,50.0,0.0,50.0
Home,Half-Time,4,4,1562,2,1,0,1,50.0,0.0,50.0
Home,Half-Time,5,5,1563,2,1,0,1,50.0,0.0,50.0
Home,Half-Time,6,6,1564,3,1,1,1,33.3,33.3,33.3
Home,Half-Time,7,7,892,3,1,0,2,33.3,0.0,66.7
Home,Half-Time,8,8,1565,2,0,0,2,0.0,0.0,100.0
Home,Half-Time,9,9,883,2,0,0,2,0.0,0.0,100.0
Home,Half-Time,10,10,886,2,0,0,2,0.0,0.0,100.0
Home,Half-Time,11,11,889,3,0,1,2,0.0,33.3,66.7
Total,Full-Time,1,6,3627,2,2,0,0,100.0,0.0,0.0
Total,Full-Time,2,1,880,4,3,1,0,75.0,25.0,0.0
Total,Full-Time,3,2,1563,4,3,0,1,75.0,0.0,25.0
Total,Full-Time,4,3,1565,4,3,0,1,75.0,0.0,25.0
Total,Full-Time,5,4,883,5,3,0,2,60.0,0.0,40.0
Total,Full-Time,6,5,1564,6,3,0,3,50.0,0.0,50.0
Total,Full-Time,7,7,1562,4,2,0,2,50.0,0.0,50.0
Total,Full-Time,8,8,890,4,2,0,2,50.0,0.0,50.0
Total,Full-Time,9,9,892,5,2,0,3,40.0,0.0,60.0
Total,Full-Time,10,10,886,5,2,0,3,40.0,0.0,60.0
Total,Full-Time,11,11,889,5,1,1,3,20.0,20.0,60.0
Total,Half-Time,1,1,880,4,2,0,2,50.0,0.0,50.0
Total,Half-Time,2,3,890,4,2,0,2,50.0,0.0,50.0
Total,Half-Time,3,4,1563,4,2,0,2,50.0,0.0,50.0
Total,Half-Time,4,7,3627,2,1,1,0,50.0,50.0,0.0
Total,Half-Time,5,2,883,5,2,1,2,40.0,20.0,40.0
Total,Half-Time,6,6,886,5,2,0,3,40.0,0.0,60.0
Total,Half-Time,7,5,1564,6,2,1,3,33.3,16.7,50.0
Total,Half-Time,8,8,1562,4,1,0,3,25.0,0.0,75.0
Total,Half-Time,9,9,1565,4,1,0,3,25.0,0.0,75.0
Total,Half-Time,10,10,892,5,1,0,4,20.0,0.0,80.0
Total,Half-Time,11,11,889,5,0,1,4,0.0,20.0,80.0
